tenant,brand,product_name,source_system,source_entity,source_column,landing_column,conformance_column,silver_column,source_type_name,target_type_name,nullable_flag,default_value,transform_expression,is_active
ikea,ikea,connect,cemc,countryriskdet,ID_FTS_CTY_MITIGATION,id_fts_cty_mitigation,id_fts_cty_mitigation,id_fts_cty_mitigation,int,int,false,,ID_FTS_CTY_MITIGATION,true
ikea,ikea,connect,cemc,countryriskdet,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
ikea,ikea,connect,cemc,countryriskdet,COUNTRY_CODE,country_code,country_code,country_code,string,string,false,,COUNTRY_CODE,true
ikea,ikea,connect,cemc,countryriskdet,COMMODITY_ID,commodity_id,commodity_id,commodity_id,int,int,false,,COMMODITY_ID,true
ikea,ikea,connect,cemc,countryriskdet,COMMODITY_NAME,commodity_name,commodity_name,commodity_name,string,string,false,,COMMODITY_NAME,true
ikea,ikea,connect,cemc,countryriskdet,TOPIC_ID,topic_id,topic_id,topic_id,int,int,false,,TOPIC_ID,true
ikea,ikea,connect,cemc,countryriskdet,TOPIC_NAME,topic_name,topic_name,topic_name,string,string,false,,TOPIC_NAME,true
ikea,ikea,connect,cemc,countryriskdet,SUBTOPIC_ID,subtopic_id,subtopic_id,subtopic_id,int,int,false,,SUBTOPIC_ID,true
ikea,ikea,connect,cemc,countryriskdet,SUBTOPIC_NAME,subtopic_name,subtopic_name,subtopic_name,string,string,false,,SUBTOPIC_NAME,true
ikea,ikea,connect,cemc,countryriskdet,TOPIC_RISK_LEVEL,topic_risk_level,topic_risk_level,topic_risk_level,string,string,true,,TOPIC_RISK_LEVEL,true
ikea,ikea,connect,cemc,countryriskdet,SUBTOPIC_RISK_LEVEL,subtopic_risk_level,subtopic_risk_level,subtopic_risk_level,string,string,true,,SUBTOPIC_RISK_LEVEL,true
ikea,ikea,connect,cemc,countryriskdet,MITIGATED_RISK,mitigated_risk,mitigated_risk,mitigated_risk,int,int,true,,MITIGATED_RISK,true
ikea,ikea,connect,cemc,countryriskdet,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,countryriskdet,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,countryriskdet,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,countryriskdet,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,countryriskdet,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,countryriskdet,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,ftsdetails,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
ikea,ikea,connect,cemc,ftsdetails,FTS_REPORT_ID,fts_report_id,fts_report_id,fts_report_id,int,int,false,,FTS_REPORT_ID,true
ikea,ikea,connect,cemc,ftsdetails,MATERIAL_KIND_ID,material_kind_id,material_kind_id,material_kind_id,int,int,false,,MATERIAL_KIND_ID,true
ikea,ikea,connect,cemc,ftsdetails,MATERIAL_KIND_NAME,material_kind_name,material_kind_name,material_kind_name,string,string,false,,MATERIAL_KIND_NAME,true
ikea,ikea,connect,cemc,ftsdetails,MATERIAL_TYPE_ID,material_type_id,material_type_id,material_type_id,int,int,false,,MATERIAL_TYPE_ID,true
ikea,ikea,connect,cemc,ftsdetails,MATERIAL_TYPE,material_type,material_type,material_type,string,string,false,,MATERIAL_TYPE,true
